acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,Label
1.8473953125000002,5.095992605176079,-6.9059,9.4052,-2.0308171875000003,3.630154008809177,-8.6967,3.7232,0.6818312500000001,1.9338117489232083,-4.4795,5.4421,0.2180015625,0.7114582806839826,-0.9525,1.6704,-0.46731249999999996,1.6970253327053635,-5.8773,1.7831,0.11259687499999999,2.4116144654546745,-3.9315,4.009,1.0
1.7981578125,4.557351747924881,-6.9059,8.116,-1.6797296875,3.8938624243673403,-8.6967,3.6836,0.191240625,1.0243003064163407,-1.6375,2.2959,-0.016387499999999996,0.6171997948142481,-0.9525,1.439,0.10565,1.1603912513673997,-2.7875,1.6881,-0.04175781250000001,2.317313566786758,-3.9315,3.3988,1.0
1.4335375,4.93458904926806,-7.0327,8.116,-2.687134375,4.721251250999925,-11.153,3.6836,0.5171140625,1.1120283781039475,-2.3678,2.3068,-0.05320624999999999,0.8439440056357043,-1.8564,1.79,-0.006725000000000009,1.3726676102119553,-3.8767,1.649,-0.20657187500000002,2.392861754225259,-3.6437,5.7053,1.0
1.6753859375,5.1931392486225025,-7.0327,9.2318,-2.8216140625,4.666587879605772,-11.153,4.0556,0.8791953125,1.1441985227700993,-2.3678,2.3068,-0.173353125,0.984588844227749,-1.8564,1.79,0.054781250000000004,1.4890838101701789,-3.8767,2.8173,0.27214531249999996,2.4950370840135876,-3.5247,5.7053,1.0
2.4996890625,4.784813542315324,-6.6113,9.2318,-2.1028656249999997,4.649352349091846,-11.5201,4.0556,1.250675,0.8957291350835362,-1.2259,2.4365,-0.020104687500000003,0.8717127667037333,-1.562,1.6248,0.039753125,1.2712096914662563,-2.0823,2.8173,-0.43335937500000005,2.2653937827339443,-3.2912,5.387,1.0
1.7007171875,4.426004943497109,-6.6113,8.7919,-2.9278515625000003,4.409847163309355,-11.5201,3.7091,0.7027125,1.7328948513343934,-4.1569,3.3425,0.0294140625,1.13313551937577,-2.5453,3.0387,-0.05201874999999999,0.9649601296612921,-2.0681,1.6,0.11996874999999999,2.618839930488963,-3.2912,4.7329,1.0
2.65778125,4.207530081290083,-6.8843,8.9887,-2.4015218750000003,4.291538199085379,-11.1211,4.1968,0.7523015625,1.7701506846604353,-4.1569,3.3425,-0.10598281250000002,1.2105184708621095,-2.5453,3.0387,-0.12803124999999999,1.199334666449877,-2.571,1.6,-0.053625000000000034,2.492160197248564,-3.3097,4.7329,1.0
1.6670015624999999,4.5088950026063825,-6.8843,8.9887,-2.8976468749999995,4.106807216491631,-11.1211,4.4819,0.8815734375,1.6816998938241579,-3.8656,2.9953,-0.23379687500000002,1.1173731038087655,-2.3325,2.3772,-0.011418749999999998,1.113344236253297,-2.571,1.4477,0.08155625,2.409314608638406,-3.3097,3.1916,1.0
2.3748453124999997,5.418051603463235,-9.4661,10.6548,-3.3841453125000003,4.29888303395958,-10.8969,5.3819,1.432746875,3.7298335290000186,-6.1497,6.7031,-0.35731406250000003,2.049973964001371,-4.9827,3.1337,0.03279218749999998,1.385103145787423,-3.7168,1.9894,0.298521875,2.5844115570249224,-4.5552,3.7561,1.0
2.0767187500000004,5.258973440311182,-6.1249,10.6548,-3.514978125,4.171467513113219,-9.7115,5.3819,1.560721875,2.956618652144538,-2.69,6.7031,-0.25816875,1.824770183378838,-4.1654,3.1337,0.24316875,1.5920059066586207,-3.7168,3.1769,0.15938124999999997,2.5111655587392954,-4.5552,3.761,1.0
2.7399500000000003,4.94062579563561,-6.1249,11.3191,-3.110225,4.431396762626035,-9.7115,5.4624,1.6274250000000001,2.3364028235863996,-2.3095,5.5223,-0.4346421875,1.6651413451458001,-4.1654,2.2979,0.24264687499999996,1.5260492243011803,-3.491,3.1769,0.20298281250000005,2.577590511962837,-4.274,3.761,1.0
2.7795218750000004,5.834409890186752,-8.8879,11.3191,-4.1092703125,5.2689943450956465,-11.1752,5.4624,0.6372671875,2.1450015136252447,-3.1786,5.392,0.42288125000000004,0.95563793530732,-2.0126,2.2979,-0.071753125,1.2613209385363562,-3.491,2.5254,0.08023749999999996,3.096390899322347,-4.274,5.1077,1.0
3.0622812500000003,5.974146359885731,-8.8879,12.6103,-3.7466749999999998,5.414685276576562,-11.1752,5.0821,0.11333281249999998,1.3870841256317477,-3.1786,2.6834,0.1332484375,0.7699351443855895,-1.5543,1.0672,-0.02787500000000001,1.260040147053855,-2.367,2.6562,0.14587812500000003,3.0181381825384475,-4.4649,5.1077,1.0
3.1809624999999997,5.778538115991687,-9.6935,12.6103,-4.332478125,5.782295343316007,-14.3009,5.0821,0.41042500000000004,1.7840303236282167,-4.0088,4.4046,-0.15221874999999999,1.1950091152731586,-2.3927,2.2924,0.2097046875,1.3480109790017578,-2.367,2.6562,0.024829687500000037,3.2710848743994556,-4.4649,5.4574,1.0
3.320609375,5.81340321462821,-9.6935,12.9507,-4.2219421875,5.857266992612805,-14.3009,4.4052,0.9176500000000001,2.046898002466171,-4.0088,4.4196,0.10972031249999999,1.2179679737399307,-2.3927,2.2924,-0.008823437500000003,1.567152558159043,-4.1769,2.0791,0.13458281250000004,3.29049806904074,-4.3806,5.4574,1.0
2.8156296875,5.494011318747433,-10.3801,12.9507,-4.405921875,5.809304668172128,-15.2459,4.4052,0.8030578125000001,2.2342259080191433,-6.0084,4.4196,-0.050315625,1.5713303583487337,-3.8833,3.6606,0.04356406249999999,1.6154415214353153,-4.1769,2.498,-0.19066249999999996,3.1767218926562095,-4.3806,5.548,1.0
2.4884500000000003,5.032338683051599,-10.3801,9.3445,-4.205884375,5.63895414009822,-15.2459,5.1851,0.870078125,2.2890345806467156,-6.0084,3.693,-0.09293437500000001,1.5851884634818219,-3.8833,3.6606,0.20037500000000005,1.3262149254315831,-2.5497,2.498,0.1626703125,3.057199242754699,-3.9147,5.548,1.0
1.14955,4.3740298250726415,-6.5259,8.4448,-3.3276171874999996,4.430009328910701,-9.6189,3.3243,1.0047484375,2.8927169730631372,-3.853,5.5031,-0.5505515625,1.679934594243198,-3.0213,4.1674,0.28939218749999995,1.4121401970175322,-3.5591,2.2384,0.32739218750000004,2.471645090717965,-4.0405,4.2923,1.0
2.2090078125,4.565093638425745,-8.9596,8.4448,-1.806653125,3.8586052650605156,-9.4362,3.3243,1.7532578125,2.8144804250076896,-4.2412,5.5031,-0.465975,1.3050665545768154,-3.0213,1.4575,0.3665421875,1.2934651767158114,-2.2074,2.2384,-0.035229687499999995,2.200772730889063,-3.4117,4.2923,1.0
1.7872062499999999,5.309372496876249,-8.9596,9.6783,-2.610371875,4.475337850810426,-11.1147,3.6781,0.333546875,2.0371340468879886,-4.2412,3.8378,-0.22129062500000002,0.9512075619178021,-1.7808,1.6289,0.2733875,1.3807930162025552,-2.2074,3.1842,0.11324843749999995,2.4473669793392365,-3.4117,5.2031,1.0
3.18883125,4.478081176857275,-7.5857,9.6783,-1.8901874999999997,4.576162216363047,-11.1147,3.6781,0.7995718749999999,1.622060126570216,-1.8702,3.6124,-0.139465625,0.9013449588009351,-1.7808,1.6289,0.1004890625,1.419896787084935,-2.1628,3.1842,0.1034046875,2.4751118307708393,-3.2353,5.2031,1.0
1.881615625,4.7449111172595595,-8.6475,9.5351,-2.4778312500000004,4.213076776829605,-10.6182,3.5957,0.5376734375,1.685532726918461,-3.8206,3.6124,0.1428078125,0.7762494428952685,-1.347,2.1883,-0.11112031250000001,1.0284856571343872,-2.1628,1.2561,-0.04343749999999997,2.2606208731300454,-3.2353,3.9041,1.0
1.7336843750000002,4.640439377742786,-8.6475,8.1184,-2.1239796875,4.247517592855696,-10.6182,3.794,0.2827984375,1.8313765437073035,-3.8206,3.5979,-0.03234375000000001,0.8255056792799413,-1.8075,2.1883,0.022634375000000005,1.0735427557884498,-2.1407,1.486,0.09749218749999997,2.1571467240680953,-2.8383,3.9041,1.0
1.5384015625,4.522569095778561,-8.0237,8.1184,-1.9924578125,3.891347924795978,-10.2753,3.794,0.34383125000000003,1.9379513986161876,-4.3921,3.5979,-0.015734374999999995,0.984329705024368,-1.8075,2.7121,-0.11921874999999998,1.0523158602094893,-2.1407,1.6,0.06284843749999999,2.083350661719015,-2.8383,3.864,1.0
2.3807640625,4.166168578088535,-8.0237,8.2145,-1.33328125,3.702296998987377,-10.2753,3.1601,0.7015875,2.3876886379339224,-4.3921,6.9267,-0.05245312499999999,1.2273385469137008,-2.6938,2.7121,-0.48242812500000004,1.3195718041836468,-2.6974,1.8782,0.34857031250000003,1.8340981341894993,-3.1339,3.864,1.0
1.9060593750000001,4.5071707710019835,-9.6019,8.2145,-2.152715625,4.00113560951055,-11.6634,3.1601,0.15753593750000006,3.4797903500681255,-6.7997,6.9267,0.6039984375,1.6249361537930678,-2.6938,3.9435,-0.6032578125,1.3767578454248826,-2.6974,2.3606,0.1301921875,1.9877086529865777,-3.1443,2.9238,1.0
1.2088843749999998,4.4077182820032705,-9.6019,7.2574,-2.7528515625,3.6920937960387135,-11.6634,2.7845,-0.16652500000000006,3.712684171568126,-6.7997,6.8469,0.32065781250000003,1.5635433364441693,-1.8574,3.9435,-0.2771265625,0.9848177739501778,-1.4591,2.3606,-0.05675624999999998,2.1003297813881363,-3.1443,2.9238,1.0
1.6746515624999998,4.530448416375035,-8.0194,7.4388,-2.4349234375,3.5551234758682337,-10.2643,2.7845,0.13531093749999995,2.7828589770187997,-6.2812,4.5639,-0.0972609375,0.9190833885958722,-1.4399,1.4534,-0.13155,0.8667392691144206,-1.4323,1.4703,0.11595625000000001,2.1068450077125838,-2.7032,3.3167,1.0
1.9678421875,4.961113626079981,-8.0194,9.0089,-2.676959375,3.6932475019333744,-10.2643,2.1925,-0.20788125000000002,2.443173328498397,-4.2619,4.1137,0.00830625,0.8527292455468719,-1.2966,1.4534,0.015873437500000004,0.909968692840959,-1.7987,1.4703,-0.0769296875,2.2687591233067037,-3.3026,3.3167,1.0
1.8522796875,4.949037395329384,-7.7856,9.0089,-2.8001328125000002,3.8348122384794916,-10.192,2.1167,0.0061484374999999925,2.31902304194246,-4.2619,4.1137,-0.056214062499999995,0.7514882903834871,-1.2966,1.4859,-0.030654687500000007,0.8296916571326527,-1.7987,1.1742,-0.09242968750000002,2.2923032531222614,-3.3026,3.6061,1.0
1.5872734375,4.8848314402930715,-7.7856,10.0074,-2.5877546875000004,3.8051437574654163,-10.192,2.1548,-0.022678124999999986,2.244919709690969,-4.9533,3.8156,0.02569531250000002,0.8345439058307702,-1.4266,1.4859,-0.11880624999999999,0.8203169076786346,-2.2998,1.0989,0.011121874999999993,2.2766015300682256,-3.2841,3.6061,1.0
