acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,activity_label
0.47288842480717364,0.9306891898290638,0.07762344399002116,0.38030217243704356,0.5746445645637072,0.5597937681851773,0.6478088169776548,0.8522701667900132,0.40102595257405194,0.7861474543983995,0.34673854893147676,0.317216437248703,0.5378527894983589,0.5292466588089577,0.5494239199876634,0.44893026586697704,0.718059870093194,0.3438390516357004,0.5246518446127534,0.9241262387695122,0.30854090790842875,0.5447307469600463,0.3776645662957501,0.2205098493626883,1
0.5409640891020628,0.6381244377101188,0.19507521379518628,0.43193719737531455,0.5760647002243164,0.5689051470594022,0.6652547944468183,0.6362364157882527,0.39131306608161714,0.7388963313813017,0.33407128395818486,0.3105118236735939,0.5158274730426629,0.5292466588089577,0.5494239199876634,0.44064989705487434,0.6882942671561706,0.3438390516357004,0.6039335450769606,0.5768469307515991,0.23540745317377734,0.5447307469600463,0.3776645662957501,0.2205098493626883,1
0.61246506680459,0.7810064396988493,0.2082740491670442,0.4932585615915387,0.5524798837908592,0.5450331297826475,0.6627074550294847,0.5920561909246668,0.39600537916302114,0.7734986541087079,0.3476667786675179,0.24664827991123708,0.5158274730426629,0.6338474139480991,0.5573656731214065,0.41260853996956415,0.6742022027675798,0.6122478057676963,0.6425482531150746,0.3863176269163632,0.3082888917793965,0.5037348002316154,0.3349108459579032,0.18257242178447278,1
0.6875365189886543,0.848894360528434,0.11096507178966936,0.53942314243359,0.5379055586586695,0.5418991995177116,0.633598426327269,0.655536560729693,0.3811121631515958,0.7819253422269805,0.36630290152889644,0.2578079130122162,0.580253164556962,0.666130611103342,0.5573656731214065,0.41260853996956415,0.6742022027675798,0.6122478057676963,0.6425482531150746,0.667426984401403,0.3082888917793965,0.5415170816444701,0.353559458372436,0.2559443800695249,1
0.6585018645269031,0.6166402291775178,0.23996210066929963,0.503257363426845,0.5436160815462668,0.5545757979047843,0.5833364377129349,0.6863236782896325,0.3912306685805371,0.7776466069978332,0.3519909401986748,0.24871034748517398,0.580253164556962,0.6290628683301036,0.47049104487476046,0.41455554560916663,0.6742022027675798,0.6226775333409323,0.6162716833618372,0.667426984401403,0.26216994016649325,0.6005790387955993,0.36105376055771554,0.2559443800695249,1
0.5512327102792338,0.7647402812633174,0.19444036810416146,0.37383795644788814,0.547952509864036,0.5198318286742815,0.5612117599642424,0.7244706701940157,0.4098307141121054,0.8345288427260532,0.3287562587496715,0.27697695826158686,0.6260009376465072,0.5523403320214955,0.47049104487476046,0.41455554560916663,0.6786642191471336,0.48845890801322234,0.4809064256046909,0.5435807061474198,0.2558614073881374,0.6005790387955993,0.36105376055771554,0.17492468134414832,1
0.5899577813044735,0.8911489653866187,0.019639807483310096,0.34106345339256816,0.5597918514407471,0.5214696259825014,0.5418269227374709,0.6828513072230236,0.3903603462502446,0.7834917676207828,0.3180751594679143,0.2900077936825712,0.6260009376465072,0.5523403320214955,0.47752957504461047,0.4507877540059082,0.6974442247952557,0.48845890801322234,0.4809064256046909,0.5435807061474198,0.2120431191467222,0.5233642154024319,0.35008714304866606,0.173928157589803,1
0.7860667326194011,0.6601484445286234,0.25330449411199235,0.38004139541549303,0.6233142804116573,0.6013014231758157,0.4699511309063951,0.5416407705595078,0.4171290903085765,0.6952293030845046,0.35424999008403535,0.2436446655969176,0.7005532114392873,0.6197235151926803,0.3717533540413721,0.4487288514904665,0.724781135272522,0.5123104981192295,0.4620693867578793,0.4655765680856166,0.2742504552549428,0.5233642154024319,0.38149886043705594,0.24308227114716105,1
0.9335455043371446,0.7830472560253798,0.3710720916729939,0.40885843096809366,0.6362718137512959,0.6279768205639973,0.6066715572474597,0.6142500743177361,0.44740119762372965,0.8105545969151908,0.38446750552784337,0.23763849149388774,0.5331551804969525,0.5848033242104,0.3717533540413721,0.34318771819890803,0.6725360067777464,0.7901516015046164,0.652602003420474,0.48461611390266074,0.3601554370447451,0.634163288940359,0.40843276578629845,0.26950173812282735,1
0.8005718614407054,0.8188834698612624,0.32648295487172296,0.5281956344516988,0.5507406726639054,0.570133691796611,0.7010835228635109,0.7455194995671476,0.455879357068848,0.8997516128765548,0.3991013049185906,0.2552715206564686,0.5331551804969525,0.5848033242104,0.535247725420219,0.34318771819890803,0.6179327873482068,0.736606633990653,0.652602003420474,0.6841353848899396,0.3601554370447451,0.634163288940359,0.40843276578629845,0.26950173812282735,1
0.5268663871604421,0.7444552298877787,0.3675767184964472,0.39452156813915634,0.5333278607488994,0.535239400948679,0.7253604409517994,0.931517031864029,0.4932857428190522,1.0000000000000002,0.39665077611617544,0.2975593343478426,0.5653258321612751,0.5022574265337515,0.29707223580728315,0.2529764568973235,0.6179327873482068,0.5175253619058474,0.6807231859271928,0.7085231803960715,0.32914932362122795,0.7080775911986104,0.3771014881351388,0.22090382387022017,1
0.6670529496364265,0.7142040342819261,0.1908173877535395,0.3022523146897341,0.5655016605129833,0.5541720545029982,0.7556528799513343,0.9932686795954474,0.4946187123812067,0.9793834720615704,0.39144412469475637,0.3219670117081361,0.5665916549460852,0.5022574265337515,0.29371268697816855,0.2529764568973235,0.6520474442247953,0.5175253619058474,0.6807231859271928,0.8653401074111459,0.31053264828303856,0.7080775911986104,0.4011395629440944,0.24787949015063732,1
0.5494285655036296,0.6843967517401391,0.15912295589258033,0.4800352871248982,0.5532297468275369,0.5429648302506909,0.7615769526478156,0.8789700957845858,0.49511675435942165,0.9011369748255266,0.38199440850782057,0.2936313533302461,0.5065260196905765,0.5535389655792395,0.2862115304121783,0.265486527616149,0.6293843547020617,0.5449390174398723,0.5201685805032983,0.8653401074111459,0.34050630853277836,0.6845686160972786,0.4011395629440944,0.24787949015063732,1
0.5187349273401735,0.7100454566977602,0.24647538351272774,0.5523962119200942,0.5201386943246326,0.5413939299973478,0.738156927481137,0.8082340099177154,0.46824035799935365,0.899420819447199,0.4159436162216538,0.261223876454806,0.5065260196905765,0.5535389655792395,0.2862115304121783,0.265486527616149,0.6293843547020617,0.5449390174398723,0.5624236501343758,0.6723179280691088,0.34050630853277836,0.5862188766647365,0.3822898511864862,0.22280417149478562,1
0.6929855485441809,0.5810987736161749,0.4083716686552118,0.5075883763928665,0.5192032392941079,0.5413223107974208,0.7091520492284651,0.8947612225627228,0.4523129171846066,0.9216114231423108,0.4195391126968349,0.2547320664082521,0.5041350210970463,0.5208762011307109,0.4921683960081952,0.3176080923820608,0.6360491386613951,0.4829875755157871,0.5624236501343758,0.9999999999999999,0.34357927939646205,0.5862188766647365,0.3822898511864862,0.24287369640787948,1
0.5495127345296721,0.7534506842180027,0.3394393366128377,0.3489772137267386,0.5591558419541409,0.5330577699355191,0.7224446036160962,1.0,0.5013890696166662,0.9997972399988141,0.4007803499876167,0.2838417934362203,0.5041350210970463,0.5208762011307109,0.3815345978454828,0.2750872795631547,0.656170573284383,0.4829875755157871,0.5230637674077693,0.9999999999999999,0.3636999219562956,0.4839027214823393,0.5013540689100415,0.2741830822711472,1
0.7644877460876651,0.8789585207632936,0.16034266779811696,0.2543257269453144,0.6305052563578641,0.6080163134370999,0.6753875108722641,0.8481076569660648,0.4545592717124014,0.9746227782685529,0.4190298786933828,0.28826170895945075,0.5565682137834036,0.5283976267055556,0.3815345978454828,0.26864201951481514,0.6650663654334934,0.6035278695999087,0.6774981676032249,0.7266369603649524,0.3636999219562956,0.6065141864504922,0.5013540689100415,0.3086906141367323,1
0.872329005744231,0.717049812964629,0.28284768169666497,0.35911462677169803,0.6499256739755411,0.6385316017752117,0.6154345491258882,0.6450959892399881,0.4031147049090813,0.8483942044775089,0.33828171125254947,0.2637008958370071,0.6624566338490387,0.6671894040793495,0.5623994889079815,0.26864201951481514,0.7397062976560295,0.6372962498575172,0.7310774493036891,0.4795522862512618,0.2909160379812695,0.6065141864504922,0.39938329534790185,0.3086906141367323,1
0.6144412091551503,0.7351247691652066,0.3230609558202695,0.4206920693243996,0.6135103833366942,0.6053900137650529,0.6021782477251796,0.5847830773077058,0.38148653968255797,0.729085946774867,0.24906824032078398,0.24405841489803803,0.6547679324894513,0.6831312303973469,0.6085299495516932,0.4464013964730106,0.7537277605196273,0.5481876211102245,0.7310774493036891,0.4843372687676718,0.271079929760666,0.4560509554140128,0.31191848773294006,0.1968250289687138,1
0.5497408447886565,0.7677150906766419,0.22741512527834312,0.444987795165523,0.5685503659195994,0.5401889959853897,0.5442029456158793,0.5320339055373625,0.35253841629093796,0.6637848617964882,0.2642719049899882,0.2820945973243376,0.6547679324894513,0.6812134167049563,0.5842861234110988,0.4464013964730106,0.7385060717311495,0.4438618488544397,0.6475690202785244,0.4843372687676718,0.23878934703433924,0.41502605674580195,0.3188363051347366,0.19501738122827347,1
0.5088578751102432,0.7699595151285572,0.21703534506043265,0.5124338953743796,0.5260747828662898,0.5147059402223658,0.46816284722214146,0.5618812420130307,0.3643401950596111,0.6631228259510958,0.2857281785145442,0.25773969260656526,0.6401593999062352,0.6812134167049563,0.5842861234110988,0.4656252797421897,0.7003671279299634,0.4438618488544397,0.4321402394331786,0.5347970843952684,0.3605781737773153,0.39238563983786917,0.3188363051347366,0.15283893395133255,1
0.7181106127383112,0.8282600975424972,0.2737163249984581,0.43954319383720475,0.6081860345593707,0.605944078784268,0.7850723566345005,0.8976905763232957,0.46471416675217664,0.8471432902503319,0.4162103125236344,0.31257386032050916,0.4294983591186122,0.613960085502527,0.47131716343929686,0.3810760003580701,0.6572154758542785,0.5186082297959649,0.7419863181040801,0.9183764520860404,0.31000422736732575,0.5789519397799652,0.37833489743933507,0.2738586326767091,1
0.8986946481917688,0.7621395425919788,0.3044398789433275,0.39718454790426905,0.6237971765033398,0.6508965385889759,0.6522829418846596,0.6962373924917118,0.4452011567777189,0.821706135019245,0.3875324793921554,0.2904452947791738,0.6464885138302858,0.6951075773618074,0.5097261692331417,0.3448214125861607,0.6794690765320531,0.5186082297959649,0.7419863181040801,0.5812694145925236,0.31000422736732575,0.46473653734800235,0.37833489743933507,0.2749710312862109,1
0.6807651818355923,0.5888737629622613,0.3602148479454182,0.43879140422552754,0.5776772091247018,0.5810654575876608,0.6090428093637026,0.6625301327186448,0.43260252043749947,0.816098731020101,0.3324601911629298,0.2362085924889445,0.6078574777308954,0.6193339592864134,0.48289383825700005,0.3448214125861607,0.6794690765320531,0.6508036019605608,0.6736379183972635,0.5166665737182883,0.2780957336108221,0.4578459756803706,0.35624078294677575,0.2749710312862109,1
0.5787791587732791,0.5918213457076565,0.3179641126090776,0.3858536688507722,0.5510269126236462,0.5311460882143917,0.6004065637836015,0.6225048527023946,0.43976811355886014,0.8410462696678139,0.3018812474512045,0.22328217033218722,0.6078574777308954,0.6193339592864134,0.48289383825700005,0.42751320383134905,0.6859644168314036,0.6508036019605608,0.6736379183972635,0.44387683968077807,0.26234066077003126,0.4578459756803706,0.32193323501809895,0.179351100811124,1
0.4346317727094742,0.7766336000757611,0.1360409448885883,0.3492978989829697,0.5425310821976234,0.5124282922598533,0.6117469159703637,0.6978898860500928,0.4212263920760177,0.8921464390190398,0.32848060395629003,0.22812923863164286,0.6186591654946084,0.629722116786863,0.48848941466745976,0.3688344821412587,0.6859644168314036,0.6512880428587712,0.5579281700464207,0.569189843344803,0.2969156477627472,0.4796757382744644,0.34448317468829603,0.17302433371958287,1
0.4855235374411885,0.7931104692457029,0.0936742997024626,0.3827278686059707,0.5475963159989221,0.5326752761864586,0.5749801908621426,0.7148483213831569,0.3850413476813841,0.8344294161296764,0.32989943775106456,0.22332607268391966,0.6186591654946084,0.629722116786863,0.5937589496177826,0.3688344821412587,0.6883648686811635,0.6295451954861506,0.5254336672367457,0.5830372927483534,0.2995414932362123,0.4796757382744644,0.34448317468829603,0.17302433371958287,1
0.5937758835003093,0.6689402907334627,0.17994844670167356,0.3880397320809772,0.5624415340605922,0.5597748796049768,0.5184756067132272,0.6678185628019129,0.36388311124109074,0.8116883336342622,0.32544332983652935,0.22619926865227538,0.6770370370370369,0.6682981401202628,0.678783072279867,0.41858383313937886,0.7022168878847783,0.6295451954861506,0.4779623747862204,0.6777107929797948,0.2995414932362123,0.419224088013897,0.368910041560531,0.22699884125144842,1
0.4080172827066807,0.6594441024669728,0.31222817013439164,0.3925187536267976,0.5480827811674093,0.5505218363792481,0.6068907059009491,0.7313906626923626,0.406388535179261,0.8708580960515928,0.35283891408961854,0.22741935367809687,0.597430848570089,0.5492138961583793,0.5617716387989338,0.32908871184316546,0.679680881107032,0.7223298757551577,0.4862448082091375,0.6777107929797948,0.28087604058272636,0.40083960625361903,0.368910041560531,0.22699884125144842,1
